"","Origin Station Name"
"227901","Upney"
"228422","Upper Holloway"
"228710","Upper Warlingham"
"229095","Upton Park"
"229691","Uxbridge"
"230284","Waddon"
"230687","Wallington"
"231166","Waltham Cross"
"231638","Walthamstow Central"
"232249","Wandsworth Common"
"232713","Wandsworth Road"
"233111","Wandsworth Town"
"233675","Wanstead"
"234176","Wanstead Park"
"234490","Wapping"
"235052","Warren Street"
"235675","Warwick Avenue"
"236257","Waterloo East"
"236543","Watford"
"236961","Watford High Street"
"237354","Watford Junction"
"237940","Welling"
"238391","Wembley Central"
"238954","Wembley Park"
"239576","Wembley Stadium"
"239948","West Acton"
"240389","West Brompton"
"240999","West Drayton"
"241463","West Dulwich"
"241857","West Ealing"
"242272","West Finchley"
"242722","West Ham"
"243292","West Harrow"
"243682","West India Quay"
"244116","West Kensington"
"244684","West Norwood"
"245200","West Ruislip"
"245585","West Silvertown"
"246076","West Sutton"
"246369","West Wickham"
"246714","Westbourne Park"
"247275","Westcombe Park"
"247653","Westferry"
"248198","Westminster"
"248828","White City"
"249431","White Hart Lane"
"249977","Whitechapel"
"250608","Whitton"
"251056","Whyteleafe"
"251316","Whyteleafe South"
"251513","Willesden Green"
"252093","Willesden Junction"
"252682","Wimbledon"
"253303","Wimbledon Chase"
"253568","Wimbledon Park"
"254088","Winchmore Hill"
"254534","Wood Green"
"255140","Wood Lane"
"255686","Wood Street"
"256185","Woodford"
"256723","Woodgrange Park"
"257042","Woodmansterne"
"257288","Woodside Park"
"257813","Woolwich Arsenal"
"258424","Woolwich Dockyard"
"258792","Worcester Park"
